lote,lote_nombre,granja_nombre,galpon_nombre,fecha,dia_vida,peso_prev,peso_dia,gap_dias,ganancia,ganancia_por_dia,criterio
5,2602,Sacachun 3b,Galpon-4,2026-04-16,50,2840,3290,1,450,450.0,GANANCIA_DIA_ALTA
5,2602,Sacachun 3b,Galpon-4,2026-04-26,60,2550,3103,2,553,276.5,GANANCIA_DIA_ALTA
9,2602,Sacachun 3b,Galpon-3,2026-04-09,39,1854,2195,2,341,170.5,GANANCIA_DIA_ALTA
9,2602,Sacachun 3b,Galpon-3,2026-04-12,42,2295,2495,1,200,200.0,GANANCIA_DIA_ALTA
10,2602,Sacachun 3b,Galpon-2,2026-04-12,39,1902.5,2120,1,218,217.5,GANANCIA_DIA_ALTA
10,2602,Sacachun 3b,Galpon-2,2026-04-13,40,2120,2285,1,165,165.0,GANANCIA_DIA_ALTA
12,2601,Kilometro 86,Galpon-2,2026-04-13,57,3500,4398,4,898,224.5,GANANCIA_DIA_ALTA
13,2601,Kilometro 86,Galpon-3,2026-04-14,51,2953.5,3170.5,1,217,217.0,GANANCIA_DIA_ALTA
14,2601,Kilometro 86,Galpon-4,2026-04-16,53,3247,3725,1,478,478.0,GANANCIA_DIA_ALTA
15,2602,Sacachun 2,Galpon-2,2026-04-21,37,1982,2158,1,176,176.0,GANANCIA_DIA_ALTA
15,2602,Sacachun 2,Galpon-2,2026-05-01,47,2983.5,3159.5,1,176,176.0,GANANCIA_DIA_ALTA
16,2602,Sacachun 2,Galpon-5,2026-05-12,55,2541.5,2703,1,162,161.5,GANANCIA_DIA_ALTA
19,2601,Kilometro 22,Galpon-2,2026-03-02,29,948,1469.5,3,522,173.8,GANANCIA_DIA_ALTA
20,2601,Kilometro 22,Galpon-1,2026-03-19,39,2156.5,2675.5,3,519,173.0,GANANCIA_DIA_ALTA
22,2601,Kilometro 61,Galpon-1,2026-01-20,6,110,540,1,430,430.0,GANANCIA_DIA_ALTA
23,2601,Kilometro 61,Galpon-2,2026-02-19,36,1752.5,2196.5,2,444,222.0,GANANCIA_DIA_ALTA
23,2601,Kilometro 61,Galpon-2,2026-02-24,41,2588.5,2765,1,177,176.5,GANANCIA_DIA_ALTA
23,2601,Kilometro 61,Galpon-2,2026-03-02,47,2652.5,2914,1,262,261.5,GANANCIA_DIA_ALTA
24,2601,Sacachun 3b,Galpon-1,2026-02-18,47,2167.5,2775,1,608,607.5,GANANCIA_DIA_ALTA
24,2601,Sacachun 3b,Galpon-1,2026-02-19,48,2775,3025,1,250,250.0,GANANCIA_DIA_ALTA
24,2601,Sacachun 3b,Galpon-1,2026-02-21,50,2770,3147.5,1,378,377.5,GANANCIA_DIA_ALTA
31,2601,Sacachun 3b,Galpon-2,2026-02-13,42,2392.5,2642.5,1,250,250.0,GANANCIA_DIA_ALTA
32,2601,Sacachun 3b,Galpon-3,2026-02-04,38,1955,2130,1,175,175.0,GANANCIA_DIA_ALTA
32,2601,Sacachun 3b,Galpon-3,2026-02-17,51,289,2980,1,2691,2691.0,GANANCIA_DIA_ALTA
32,2601,Sacachun 3b,Galpon-3,2026-02-19,53,269,2717.5,1,2449,2448.5,GANANCIA_DIA_ALTA
33,2601,Sacachun 3b,Galpon-4,2026-02-12,48,280,2600,1,2320,2320.0,GANANCIA_DIA_ALTA
56,2601,Sacachun 2,Galpon-2,2026-02-23,47,3076,3240,1,164,164.0,GANANCIA_DIA_ALTA
56,2601,Sacachun 2,Galpon-2,2026-02-27,51,3210,3371,1,161,161.0,GANANCIA_DIA_ALTA
57,2601,Sacachun 2,Galpon-5,2026-02-20,40,1991,2228,1,237,237.0,GANANCIA_DIA_ALTA
57,2601,Sacachun 2,Galpon-5,2026-02-23,43,2416,2611,1,195,195.0,GANANCIA_DIA_ALTA
57,2601,Sacachun 2,Galpon-5,2026-02-25,45,2566.5,2992,1,426,425.5,GANANCIA_DIA_ALTA
57,2601,Sacachun 2,Galpon-5,2026-03-08,56,1980,2145,1,165,165.0,GANANCIA_DIA_ALTA
65,2602,Kilometro 22,Galpon-2,2026-04-27,12,226,2225.355,4,1999,499.8,GANANCIA_DIA_ALTA
66,2602,Kilometro 22,Galpon-1,2026-05-23,34,2211.5,2456,1,245,244.5,GANANCIA_DIA_ALTA
73,2602,Kilometro 86,Galpon-2,2026-05-28,36,2275,2436.5,1,162,161.5,GANANCIA_DIA_ALTA
78,2603,Sacachun 3b,Galpon-1,2026-06-01,19,16.5,590,3,574,191.2,GANANCIA_DIA_ALTA
79,2603,Sacachun 3b,Galpon-2,2026-06-01,19,21.5,586,3,565,188.2,GANANCIA_DIA_ALTA
